depth,a,t,v2_last,n_mod,delta,threshold
0,0,0,None,63728127,0,None
1,1,1,1,95592191,-1,None
2,2,2,1,143388287,-5,None
3,3,3,1,215082431,-19,None
4,4,4,1,322623647,-65,None
5,5,5,1,483935471,-211,None
6,6,6,1,725903207,-665,None
7,7,7,1,1088854811,-2059,None
8,8,8,1,1633282217,-6305,None
9,9,10,2,1224961663,-18659,None
10,10,11,1,1837442495,-57001,None
11,11,12,1,2756163743,-173051,None
12,12,13,1,4134245615,-523249,None
13,13,14,1,6201368423,-1577939,None
14,14,15,1,9302052635,-4750201,None
15,15,16,1,13953078953,-14283371,None
16,16,18,2,10464809215,-42784577,None
17,17,19,1,15697213823,-128615875,None
18,18,20,1,23545820735,-386371913,None
19,19,21,1,35318731103,-1160164315,None
20,20,22,1,52978096655,-3482590097,None
21,21,23,1,79467144983,-10451964595,None
22,22,24,1,119200717475,-31364282393,None
23,23,25,1,178801076213,-94109624395,None
24,24,30,5,16762600895,-281355794657,None
25,25,31,1,25143901343,-845141125795,None
26,26,32,1,37715852015,-2537570861033,None
27,27,33,1,56573778023,-7617007550395,None
28,28,34,1,84860667035,-22859612585777,None
29,29,35,1,127291000553,-68596017626515,None
30,30,37,2,95468250415,-205753693141177,None
31,31,38,1,143202375623,-617398518377003,None
32,32,39,1,214803563435,-1852470433037953,None
33,33,40,1,322205345153,-5557961054927747,None
34,34,42,2,241654008865,-16672783653155465,None
35,35,44,2,181240506649,-50013952912955291,None
36,36,46,2,135930379987,-150024266552821457,None
37,37,47,1,203895569981,-450143168402642035,None
38,38,50,3,76460838743,-1349725817766149465,None
39,39,51,1,114691258115,-4050303353205291019,None
40,40,52,1,172036887173,-12153161859429558305,None
41,41,56,4,32256916345,-36400938783132858467,None
42,42,58,2,24192687259,-109130758755360647465,None
43,43,59,1,36289030889,-327680506642233654139,None
44,44,61,2,27216773167,-982465059174397538929,None
45,45,62,1,40825159751,-2949701020532406310739,None
46,46,63,1,61237739627,-8853714747615646320121,None
47,47,64,1,91856609441,-26570367614883793736171,None
48,48,66,2,68892457081,-79692656100577671656897,None
49,49,68,2,51669342811,-239004181325438176764227,None
50,50,69,1,77504014217,-717307691881493883118537,None
51,51,71,2,58128010663,-2151332779834122943703899,None
52,52,72,1,87192015995,-6456359522743803653718545,None
53,53,73,1,130788023993,-19373800934714280606369331,None
54,54,75,2,98091017995,-58111958071177102528680601,None
55,55,76,1,147136526993,-174373653145394264747751371,None
56,56,78,2,110352395245,-523045401572456879919834977,None
57,57,81,3,41382148217,-1567625047442852353291122211,None
58,58,83,2,31036611163,-4700457290689327801523954281,None
59,59,84,1,46554916745,-14111043278624900437969512251,None
60,60,86,2,34916187559,-42313787022760867247113237937,None
61,61,87,1,52374281339,-127018732320737938008520909075,None
62,62,88,1,78561422009,-381210939467124486559925117753,None
63,63,90,2,58921066507,-1143323333391552114611050572203,None
64,64,91,1,88381599761,-3431207940213941724108050840833,None
65,65,93,2,66286199821,-10291147940563254411774354274051,None
66,66,96,3,24857324933,-30823926220118348024327097853193,None
67,67,100,4,4660748425,-91441812547669607684265222205211,None
68,68,102,2,3495561319,-273057787042780593651298963410257,None
69,69,103,1,5243341979,-824243963529254698559883703052275,None
70,70,104,1,7865012969,-2482873095389589930891624734799833,None
71,71,106,2,5898759727,-7428336876565118122250926953113483,None
72,72,107,1,8848139591,-22366140268109961048448569864484513,None
73,73,108,1,13272209387,-67260680081159096508737287603741667,None
74,74,109,1,19908314081,-202106558797135716252995018831801257,None
75,75,111,2,14931235561,-605670639284090295305418744454251259,None
76,76,113,2,11198426671,-1814415769423003472101990985198143729,None
77,77,114,1,16797640007,-5453631901986080071563033948252871379,None
78,78,115,1,25196460011,-16381664893392379525203223830075494521,None
79,79,116,1,37794690017,-49186533055045417196637915460860244331,None
80,80,118,2,28346017513,-147476522415399694347857258441313211457,None
81,81,120,2,21259513135,-442097260247252854075345823558869548227,None
82,82,121,1,31889269703,-1327621008737543478098941277736888989257,None
83,83,122,1,47833904555,-3985521482204200266042631447331227656923,None
84,84,123,1,71750856833,-11961881358595740461619509570234804349073,None
85,85,125,2,53813142625,-35875010251820942057875298254222170290611,None
86,86,127,2,40359856969,-107582495459597708865692972936737539845401,None
87,87,129,2,30269892727,-322577345195332657365347231506496735430475,None
88,88,130,1,45404839091,-968412600319839849022968443734353742714337,None
89,89,131,1,68107258637,-2906598930427203300922758829632788300988835,None
90,90,134,3,25540221989,-8706185496604772364229741504601094174508265,None
91,91,138,4,4788791623,-25835441560536096291087696840420051371593403,None
92,92,139,1,7183187435,-77854773825335329859849586119270284763311153,None
93,93,140,1,10774781153,-234261219763460071552721749553831115586995347,None
94,94,142,2,8081085865,-701389862715472050711819266269452824166862265,None
95,95,144,2,6060814399,-2098594401846783496350073869240196382124091691,None
96,96,145,1,9091221599,-6318083950738881112191757325993237507878255489,None
97,97,146,1,13636832399,-18998853342613704582858343414525009246646727299,None
98,98,147,1,20455248599,-57085763008635236241141173116665621185964103561,None
99,99,148,1,30682872899,-171435694987493953708555805096178050449940154011,None
100,100,149,1,46024309349,-514663896885658351095931986780896525133916148689,None
101,101,153,4,8629558003,-1534714580654386314060917101541267857015260593011,None
102,102,154,1,12944337005,-4615561723504806621231217592379399532136843752025,None
103,103,157,3,4854126377,-13732505355097943073208989899582238985499911526155,None
104,104,159,2,3640594783,-41014828360627466354851509094657181579042743010593,None
105,105,160,1,5460892175,-123775235900547850523656369700329686246956195303267,None
106,106,161,1,8191338263,-372787209338974454489172793933705341760524518452777,None
107,107,162,1,12287007395,-1121284631291585169303925751466548591320885420444283,None
108,108,163,1,18430511093,-3369699900424079119584591993730510906041279991504753,None
109,109,168,5,1727860415,-9770031321411467881730521100001355057563663624543827,None
110,110,169,1,2591790623,-29684238383391114792251706617179433625722909604633337,None
111,111,170,1,3887685935,-89801003988486766670875406485889037783232566275903723,None
112,112,171,1,5831528903,-270899589642087144600866792726368587161825373751718593,None
113,113,172,1,8747293355,-815691924279515122979081524716508709109731471103170627,None
114,114,173,1,13120940033,-2453062083545052747290206867224332022577705113005541577,None
115,115,175,2,9840705025,-7347213629222143485164696015523384277236093939624565339,None
116,116,177,2,7380528769,-21993750402014371428670389701971705669720196221305458449,None
117,117,179,2,5535396577,-65789689263434878178716375727521328361208246273643425075,None
118,118,181,2,4151547433,-196602820019871690106969953668988830491815369259838474137,None
119,119,183,2,3113660575,-586743468977883292604193166952665873108208629535148218059,None
120,120,184,1,4670490863,-1772490371260576988679446277075200092793575801582913471585,None
121,121,185,1,7005736295,-5341991042435585187772072383660005225318627230703678049571,None
122,122,186,1,10508604443,-16075012984614464006783684255848825569831681344020909418345,None
123,123,187,1,15762906665,-48323118668458808907285986977284096497246643335882478794299,None
124,124,189,2,11822179999,-144773196576145592947988092512377049916236731400007935304369,None
125,125,190,1,17733269999,-435104227445360113939443751215032108050722988630581810227219,None
126,126,191,1,26599904999,-1306881957769927012009290201000898240756194554752861439309881,None
127,127,192,1,39899857499,-3923784424177474376409788497714298555476634841980816335186091,None
128,128,193,1,59849786249,-11777630374267809809993201282566103332846006881386913040071169,None
129,129,195,2,44887339687,-35320336919332656068451932268851894665705815933271811051187715,None
130,130,196,1,67331009531,-106011227571881061651466483121941345328446266643371145429666313,None
131,131,197,1,100996514297,-318134116343409371846620821996595358647996437617224860841205275,None
132,132,199,2,75747385723,-954201481774695741755419720728243430618674037477451733419203153,None
133,133,200,1,113621078585,-2863407914346216720404030143230900873157283213929246596675260147,None
134,134,202,2,85215808939,-8588616804994391170936548467600361456869327438793956997190479065,None
135,135,203,1,127823713409,-25772278167160209473911813251170449021018071128357002162912642699,None
136,136,205,2,95867785057,-77303978997126556499531104056772617762234035761120744146055517089,None
137,137,207,2,71900838793,-231860514973963381809775969383362936083421396787561183067436907235,None
138,138,209,2,53925629095,-695375856852224994674058537002269139437141348379479351719392145577,None
139,139,210,1,80888443643,-2086950322835335587043253095598086093563915413071254845089850741243,None
140,140,211,1,121332665465,-6262496473063327967171914255976815631196728975079398115132900832753,None
141,141,213,2,90999499099,-18784198410075341489431432829565332192580221453506927185672005280211,None
142,142,214,1,136499248649,-56365759266684594116631538242156455381780526247445850195922804712825,None
143,143,216,2,102374436487,-169070949727136643053220135219548448537261854968487413309954836394091,None
144,144,217,1,153561654731,-507318161473078486346358323686329016044104460000862789041118820159809,None
145,145,218,1,230342482097,-1522165109002572573412470807114354388996951170193389465345865082434499,None
146,146,220,2,172756861573,-4566074077841043491490620749232328485261577930198566199592578003393353,None
147,147,224,4,32391911545,-13676317276856070579638695297938782005862403610752384383636837326852571,None
148,148,226,2,24293933659,-41001991883901061099121418878729326386913573687834612578429408370308497,None
149,149,227,1,36440900489,-123113815438371785856542924696536057683435269641194000025212639551922355,None
150,150,229,2,27330675367,-369125766741778152451271437968912016004916711768201675495789089773773337,None
151,151,230,1,40996013051,-1108240018518683277827243658389520676196306523926126324806762584849294923,None
152,152,231,1,61494019577,-3326445492142747474428589664134131284952032349021421571059078385603834593,None
153,153,233,2,46120514683,-9975885603254847141392051614471255342129871492578179519899653894699604131,None
154,154,234,1,69180772025,-29941460302458122551751024355138320077294516695678879332809286732546410985,None
155,155,236,2,51885579019,-89796773921987205400103334041965852130073745651147956452207210100744035771,None
156,156,237,1,77828368529,-269500749707510265220908958219693988797460454696998595541504230689812896049,None
157,157,239,2,58371276397,-808281393239433497621528962471489101577902928603886334254747491294277110675,None
158,158,242,3,21889228649,-2420427062056354532040628643662610008444140076069469955368938458379599782585,None
159,159,244,2,16416921487,-7254213797909950058803552740984858351269110292620907390274328950333628868651,None
160,160,245,1,24625382231,-21790910946766304325683990982966461750060570620212732074152932550221568522369,None
161,161,246,1,36938073347,-65429271946371821275598638468923158642688191345338216029118689049106069399939,None
162,162,247,1,55407110021,-196400894051261280423889246446817022713077533005414687700675849944200935865481,None
163,163,251,4,10388833129,-586262648637992609747241132299214851728895665811843033155713197113651888289179,None
164,164,253,2,7791624847,-1755169443125311698134736803616123058066272310414727831840906541840708379566289,None
165,165,254,1,11687437271,-5279982340530599618832156783974455162680475679327388566027651823523114279903859,None
166,166,255,1,17531155907,-15868895043901127905352363098175537465004744534148575839092819866571321122121561,None
167,167,256,1,26296733861,-47664581176322041813768874787030956348940868594778547799298188391717919931184651,None
168,168,260,4,4930637599,-141488446368881014900800201555979926244730095983682316065381616583050889108234785,None
169,169,261,1,7395956399,-426318012534440103829177740428078785259842607705697197220776171093279277398943331,None
170,170,262,1,11093934599,-1282659384458914429741087492804514368830832462626392089711591155968091052345307945,None
171,171,263,1,16640901899,-3855388847087931525730371021454099132595106666897777265233298753280779597332879739,None
172,172,264,1,24961352849,-11580987928686171050205330150443409449990538558730533787896946830595351672592551025,None
173,173,266,2,18721014637,-34713321011213760204587556279168004245561178560117197379296739350280029256589829459,None
174,174,269,3,7020380489,-103547107536746221693193985394259530648474793358863512450008195220719572546013016057,None
175,175,271,2,5265285367,-309692753815206570806672062673587420604290392362209609849413349133965893280028692459,None
176,176,272,1,7897928051,-932872536625748089511655762057526947177407127944152539550684993514668977272127500225,None
177,177,273,1,11846892077,-2806206160237501022718246434246110212261293285547505038656944872769549526680465346371,None
178,178,276,3,4442584529,-8342732977109935526321947822003036929493160839492040915921935696053222631400567582153,None
179,179,278,2,3331938397,-24906782125565698512033377096832640856814332091035364027687568812550986376376377215323,None
180,180,281,3,1249476899,-72292010261414934197450803906968523937139987724290917681497940925479328772622621023249,None
181,181,282,1,1874215349,-220761368568696260734191335534552609624704776850977032086997447595915794888278280066099,None
182,182,287,5,175707689,-436934514207904209975916425412129635703595137222882911795782103258034487581030654409881,None
183,183,289,2,131780767,-1062141924418819308850058152162978487060557336269974876667114321327523714236825275463115,None
184,184,290,1,197671151,-4181072246076031210860938952782577141382584310404620064882270917768890136735542577455457,None
185,185,291,1,296506727,-14532509683867240201204345850935014784549577534403251064408668660879308398256761234498595,None
186,186,292,1,444760091,-47576114942880013740856095537979611074452381809588534932749717797783201170870550707760233,None
187,187,293,1,667140137,-150685516611196627497054402584287966664964443841523168277296577023640155464812186131809595,None
188,188,295,2,500355103,-436142206268476709942190975812165633111678734699054377873794883810339362490035490378370993,None
189,189,296,1,750532655,-1372083993065882820022461855199289966867894591399223641453764040473342503087710743203344147,None
190,190,297,1,1125798983,-4243566727718553840459163421123456035669400548801791940026050899504676340498340773746494777,None
191,191,298,1,1688698475,-12985329680197472282161045974421540377139635195613617851407670254683326683965439409512409003,None
192,192,299,1,2533047713,-39465248034676038368050249345366965671681772685257337616882045876388575376837152405083076353,None
193,193,301,2,1899785785,-117377226115860872061016525191896207934519583858939044725328067404488535480629788862157530371,None
194,194,303,2,1424839339,-348057606394913644010512684198869867481455814789485261674711921314756843842362693174105796361,None
195,195,304,1,2137259009,-1060469106995416820721685618103884627732779191517783275029224887539105581925194773171784568091,None
196,196,306,2,1602944257,-3148814745364898684784761723297103832621514080254694845077496415427646644979370932216419346257,None
197,197,308,2,1202208193,-9316073933609288944833104645833111295557248263569464615191776257524259531753259247453520606707,None
198,198,310,2,901656145,-27426740590886238396414591841266533077442568881929914165412476817538056982520363545577612091865,None
199,199,312,2,676242109,-80194296932892201436904887138868395995411003010675823775586022632475284496603433849601037362571,None
200,200,315,3,253590791,-198864394003346329263936893717981123247898936329749096913729911494648124470657165806167133827233,None
201,201,316,1,380386187,-663342776882567427866655109471741873325031325312892689802034784728388739842616514606718966698467,None
202,202,317,1,570579281,-2123527520392759163749654185050822627137763008585968867527794454674054952389139578196592030528937,None
203,203,319,2,427934461,-6103584181688163730949584841881273867087950960463325006340003163044387391444838665836905830719739,None
