depth,v2_last
0,None
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,2
10,1
11,1
12,1
13,1
14,1
15,1
16,2
17,1
18,1
19,1
20,1
21,1
22,1
23,1
24,5
25,1
26,1
27,1
28,1
29,1
30,2
31,1
32,1
33,1
34,2
35,2
36,2
37,1
38,3
39,1
40,1
41,4
42,2
43,1
44,2
45,1
46,1
47,1
48,2
49,2
50,1
51,2
52,1
53,1
54,2
55,1
56,2
57,3
58,2
59,1
60,2
61,1
62,1
63,2
64,1
65,2
66,3
67,4
68,2
69,1
70,1
71,2
72,1
73,1
74,1
75,2
76,2
77,1
78,1
79,1
80,2
81,2
82,1
83,1
84,1
85,2
86,2
87,2
88,1
89,1
90,3
91,4
92,1
93,1
94,2
95,2
96,1
97,1
98,1
99,1
100,1
101,4
102,1
103,3
104,2
105,1
106,1
107,1
108,1
109,5
110,1
111,1
112,1
113,1
114,1
115,2
116,2
117,2
118,2
119,2
120,1
121,1
122,1
123,1
124,2
125,1
126,1
127,1
128,1
129,2
130,1
131,1
132,2
133,1
134,2
135,1
136,2
137,2
138,2
139,1
140,1
141,2
142,1
143,2
144,1
145,1
146,2
147,4
148,2
149,1
150,2
151,1
152,1
153,2
154,1
155,2
156,1
157,2
158,3
159,2
160,1
161,1
162,1
163,4
164,2
165,1
166,1
167,1
168,4
169,1
170,1
171,1
172,1
173,2
174,3
175,2
176,1
177,1
178,3
179,2
180,3
181,1
182,5
183,2
184,1
185,1
186,1
187,1
188,2
189,1
190,1
191,1
192,1
193,2
194,2
195,1
196,2
197,2
198,2
199,2
200,3
201,1
202,1
203,2
204,3
205,1
206,1
207,1
208,1
209,2
210,4
211,1
212,1
213,2
214,1
215,1
216,1
217,2
218,1
219,1
220,2
221,4
222,1
223,1
224,1
225,1
226,2
227,1
228,1
229,2
230,1
231,3
232,2
233,4
234,1
235,2
236,1
237,3

# max_v2_on_path = 6
